"","Name","Rk","Age","ORG","Highest_LVL","POS","Future_Role","Report","obs","word_count","sd","ave_sentiment"
"487","Humberto Mejia","35","22.9","MIA","A+","RHP",3.5,"Mejia turns 23 in March and he’s only thrown 23 innings above Low-A, but he has a riding fastball with plus-plus vertical movement and a viable curveball, so the Marlins added him to their 40-man. He needs to locate his fastball at the top of the zone more often and should be a fine middle reliever if that — and a velo boost out of the bullpen — occurs.",487,68,0.152458739263761,0.201554608384557
"488","Cristhian Rodriguez","36","18.1","MIA","R","3B",3.5,"Scouts who saw Rodriguez during instructs really like his long-term physical projection and consider him one of the toolsier low-level hitting prospects in this system, but he did strike out a concerning amount in the DSL.",488,38,NA,-0.0628608006881705
"489","Dalvy Rosario","37","19.5","MIA","A-","SS",3.5,"Rosario’s swing cuts some mechanical corners because he lacks present strength, but he has a great frame and can play several positions, including the middle infield and center, so he should be monitored closely. Miami pushed him to the Penn League as a teenager, so his poor 2019 statline doesn’t carry much concern.",489,54,0.481692855680817,0.0354853586531714
"490","Thomas Jones","38","22.1","MIA","A","CF",3.5,"His triple slash line doesn’t look great, but Jones actually put together an above-average offensive season for the Midwest League (111 wRC+), his first in full-season ball. He remains a low-probability, long-term physical projection prospect (same as when he was drafted) and it’s growing more important for Jones to develop impact power because he’s started to see more time in a corner.",490,68,0.169512652452867,0.451793963037821
"491","Luis Palacios","39","19.5","MIA","R","LHP",3.5,"Palacios’ early-career numbers are incredible — in his last two seasons, he’s struck out 104 hitters and walked just six in 104 innings — but we can’t find scouts who love him because his stuff is just okay and he’s not all that projectable. He is fairly deceptive and obviously throws a lot of strikes, but we’re skeptical of the stuff playing at the upper levels unless Palacios grows into more heat than we expect.",491,76,0.269575604425046,0.0637814590560755
"492","Nick Fortes","40","23.2","MIA","A+","C",3.5,"An athletic, catch-and-throw guy with above-average feel for the barrel, Fortes likely has backup ceiling.",492,18,NA,0.353553390593274
"493","Tristan Pompey","41","22.8","MIA","A+","LF",3.5,"Pompey entered his junior year at Kentucky as a potential first round pick, a good-framed switch-hitter with plus raw power. He started slow and several teams were off him for preceived makeup stuff, so he fell to the third round. In pro ball he has had problems with injuries (two IL stints in 2019, one for a fractured foot), strikeouts, and hitting the ball in the air. He needs to perform in 2020 to stay on the list, but he’s too talented to come off of after one bad pro season, especially because injury stuff likely contributed to the poor performance.",493,102,0.135163298463906,-0.000101286849912416
"494","Brice Turang","1","20.5","MIL","A+","SS",5,"Turang has two profile-carrying attributes in his ball/strike recognition and defense, while the rest of the profile struggles because he doesn’t square balls up very well. He has a chance to be a plus defender who reaches base a lot, which is basically what J.P. Crawford‘s skill base was, even when he was struggling. It’s possible that upper-level pitching challenges Turang with impunity and his walk rates tank, at which point I’ll move off him. If his frame, which is broad-shouldered and quite projectable, fills out and suddenly there’s relevant pop, he’s an everday player.",494,106,0.231657514287305,0.113124763742187
"495","Mario Feliciano","2","21.5","MIL","AA","C",4.5,"Feliciano hit .273/.324/.477 with 19 homers as a 20-year-old in the Carolina League, a level he was semi-repeating, as he’d spent about a month there in 2018 but missed much of the rest of that year due to injury. He is one of the more talented offensive catching prospects in the minors thanks to a potent combination of power and barrel feel. When Feliciano puts balls in play, they’re very often scorched — just under 50% of the balls he hit last year entered play at 95 mph or above, which is a 65 on the 20-80 scale if you curve out big leaguers’ hard hit rates. All of that seems likely to be hampered by Feliciano’s hedonistic approach. The dude likes to swing, and has only walked at a 6% clip as a pro. ",495,131,0.389086609903479,-0.126224915299244
"496","Tristen Lutz","3","21.8","MIL","A+","RF",4.5,"For the second straight year, Lutz got off to a slow start before righting the ship and hitting .271/.354/.446 from May onward. His skillset remains the same: big power, some stiffness and limited bat control, and an ability to crush lefties. Lutz’s overall performance in two full pro seasons has been just shy of what I’m comfortable with 50 FV’ing but he’s been very young for his level and only took three at-bats off of pitchers who were younger than him last year. He has a good shot to be an everyday corner outfielder who hits 25 homers annually.",496,101,0.32921577019209,0.0614812159390774
"497","Ethan Small","4","23.3","MIL","A","LHP",4.5,"Small is a mechanical doppelgänger for Clayton Kershaw and, like late-career Kershaw, he’s blowing fastballs with mediocre velocity past opposing hitters because he hides the ball well and creates pure backspin, helping it carry at the top of the strike zone. Small has a bat-missing changeup but needs to find a better breaking ball to really max out as a prospect. He could be a 50 FV, league-average starter if he does, but otherwise is likely to slot toward the back of a rotation.",497,88,0.223526994382474,0.286201804166474
"498","Aaron Ashby","5","22.0","MIL","A+","LHP",4,"Ashby has nasty, left-handed stuff and reliever’s control. He was up to 94 during his first pro jaunt in 2018, then was up to 96 last year as a starter, velo I think will climb in the bullpen. His two breaking balls need better demarcation, but they each flash plus and Ashby will even show you an average changeup on occasion. Since he has viable starter’s stuff, it’s logical for the Brewers to continue developing him in that role just in case he develops starter’s control later than is typical, and also to refine that secondary stuff with more reps than he’d get in the bullpen. Coming off his age-21 season, Ashby was on pace to reach Double-A during the back half of this year before the world turned upside down. He has a shot to debut in 2021, especially if Milwaukee ‘pens him.",498,147,0.203680096044578,0.00654420591755705
"499","Antoine Kelly","6","20.5","MIL","A","LHP",4,"Unsigned by the Padres after the 2018 draft, Kelly’s velocity spiked into the mid-90s in 2019. He’ll bump 98 and has a big, athletic frame and fluid delivery, but Milwaukee will need to develop the rest. Fastball location seemed to be the developmental focus for Kelly after the draft. In both my look and those of several scouts, he featured something like 80% fastballs. Teams have disparate opinions of Kelly. Some are intrigued by the canvas he presents, while others think painting it will be a chore. He need only develop one pitch to be a power reliever, which I think is pretty realistic.",499,103,0.186483698865608,0.101807397732528
"500","Max Lazar","7","21.0","MIL","A","RHP",4,"Lazar sits just 86-89 but his deceptive, funky, over-the-top delivery combined with the extreme length of his stride down the mound (nearly 7.4 feet of extension, among the top 50 in all the minors) make him an uncomfortable at-bat for opposing hitters. If there’s an Oliver Drake delivery comp in the minors, it’s Lazar (though he gets much lower to the ground), and like Drake, he can somehow turn over a changeup from this arm slot. We’ve seen fastballs thrive despite mediocre velocity before. Often it’s from someone who has an extremely vertical arm slot, like Drake or Josh Collmenter, or huge extension and a flat approach angle, like Yusmeiro Petit, guys who can successfully remove the table cloth without disturbing the place settings. Lazar has both of these, and has a bat-missing changeup, too. I’m not as confident in the breaking stuff, which often finishes high in the zone — it’s that aspect of the skillset I’m scared will be exposed by upper-level hitting. Even if they don’t develop further, Lazar has two legit weapons that would work fine in relief, and he throws strikes at such a high rate that he could be a multi-inning piece. Based on how Milwaukee deployed him last year — 10 starts, nine relief outings, highly variable pitch counts — it appears he’s being groomed for a non-traditional role of some kind.",500,238,0.263976275418051,0.0979317334877886
"501","Eduardo Garcia","8","17.9","MIL","R","SS",4,"Garcia broke his ankle and didn’t play in games at all last year, so other than that, my report on him remains the same. Garcia had an eye-opening 2018 instructional league. His range, hands, actions and arm are all easy fits at shortstop, and he could be a plus glove there at peak. His entire offensive profile depends on his frame filling out. Garcia’s lack of strength is evident with the bat in his hands, but you can go kind of nuts projecting on much of his skillset, including the speed and arm strength, because he so clearly has lots of physical growth on the horizon and is an above-average athlete. He’s so young that he wasn’t even eligible to sign immediately on July 2nd because he was still 15. Were he a domestic high schooler, he wouldn’t have been draft eligible until 2020, and he’s still just shy of 18. His development may initially be slow, but he has significant literal and figurative growth potential and a non-zero shot to be a well-rounded everyday shortstop at peak.",501,184,0.283728814378467,0.193772846553351
"502","Corey Ray","9","25.7","MIL","AAA","CF",4,"Ray has pretty severe strikeout issues that, at nearly age 26, are ridiculous to expect him to remedy. Instead I think what lies ahead for him is a career similar to Brian Goodwin’s, a whiff-prone lefty power stick with a good approach.",502,43,0.170595498809349,-0.0127653597219909
"503","Hedbert Perez","10","17.2","MIL","R","OF",4,"Perez is a physical, lefty-hitting outfielder with a swing that is compact but still has some lift, especially to his pull side. He runs well, has advanced feel to hit, and is generating more power on contact than is typical for a hitter his age. He doesn’t have big, frame-based power projection but might hit enough that it doesn’t matter. He’s likely four or five years out, but has the tools of an everyday corner guy if, in fact, the bat is as advanced as it appeared after he signed.",503,95,0.263014391579381,0.0874054780466211
"504","Drew Rasmussen","11","24.8","MIL","AA","RHP",4,"Rasmassen became famous for some dominant starts in college but had medical issues that led to a failed physical after the 2017 draft and two subsequent Tommy John surgeries. His velocity is back after the second of those, comfortably in the upper-90s during what have primarily been 40 to 50-pitch outings, mostly as a starter. He was 96-99 out of the bullpen this spring. He’s a 40+ FV relief prospect on talent, the second or third best guy in a good bullpen (a set-up type for the traditionalists), but I’ve got to account for his injury history, perhaps more so than for all but a handful of pitchers in the minors, and so he’s shaded down a little bit.",504,120,0.205390812274695,-0.0307222644138282
"505","Zack Brown","12","25.5","MIL","AAA","RHP",4,"Brown was Milwaukee’s 2018 Minor League Pitcher of the Year, then had such a rough 2019 that he was passed over in the Rule 5 Draft. It’s worth noting that while Brown had no velo decrease from the year before, his fastball spin rate dropped from 2300 rpm on average to 2000 rpm. Drops in spin rate seem to occur as part of injury-related stuff regression, but that’s often paired with a downtick in velo, and there wasn’t one here, nor was there an IL stint. Instead, it’s possible a change was made to intentionally reduce Brown’s fastball spin, since his arm slot and fastball spin axis are more conducive of sinker movement. The point is, there was a change amid Brown’s struggles, something that may be undone or further adjusted. It’s why I’m staying on him despite the age and the offseason indication (via the Rule 5) that a big chunk of the industry is not. I have Brown projected in middle relief.",505,168,0.18931553697797,-0.00458263279883901
"506","Joe Gray","13","20.2","MIL","R","CF",4,"I was skeptical of Gray’s hit tool when he was an amateur but because he’s missed so much time and dealt with the physical aftermath of pneumonia (2018) and a severe hamstring strain (2019), it’s premature to declare his hit tool specious. Gray has big present power, power projection, and the instincts to stay in center field despite not being a real burner. He’s a high variance prospect but still has everyday talent.",506,75,0.867193493934592,-0.168169721634036
"507","Alec Bettinger","14","24.9","MIL","AA","RHP",4,"A senior sign reliever coming out of Virginia, Bettinger experienced a velo bump in his second pro season and also developed better movement separation between his curveball and slider, which has enabled both of them to play better. He still only sits 89-92 but he gets way, way down the mound and generates about seven feet of extension, causing his heater the jump on hitters and create flatter approach angle. His fastball is also spin-efficient and has plus vertical movement. He’s gone from elder org-filler to back of the rotation prospect in half a season.",507,97,0.0991368259000697,0.252666262726561
"508","Clayton Andrews","15","23.4","MIL","AA","LHP/CF",4,"Andrews is a plus on-mound athlete with a plus changeup and breaking ball. In 2019, the Brewers let him return to playing some center field and take a few dozen at-bats (he played two ways in college and barely ever struck out), which actually went pretty well (.333/.391/.381 in 70 plate appearances). He’s a great athlete and has surprisingly good instincts in the outfield, though he’s not likely to play a real role as a position player. Instead Andrews projects as a middle reliever, but his unique blend of secondary skills may enable the Brewers to use him creatively. The new three-batter minimum rules make that harder.",508,109,0.149506509911547,0.398298016604602
"509","Carlos Rodriguez","16","19.5","MIL","R","CF",4,"Rodriguez is a plus-plus-running center field prospect with a slash-and-dash approach at the plate and outstanding feel for contact. He is currently unable to turn on pitches and do any real offensive damage, but his defensive profile, speed, and hand-eye coordination give him a chance to be an everyday player if those skills are all plus at maturity. Barring a swing and approach change that better enables him to turn on pitches, I think a fourth outfielder role is more likely, but that’s what I thought about Luis Arraez, and Rodriguez is a better defensive player.",509,102,0.490224990174265,0.0904684330518467
"510","Dylan File","17","24.0","MIL","AA","RHP",4,"File throws strikes at will and has already reached Double-A because of it. He hides the ball really well and it helps his otherwise pedestrian fastball sneak past hitters at the top of the zone for the occasional swing and miss, while his two-plane curveball also garners the occasional swing and miss. He’s a high-probability fifth starter who might generate more WAR than is typical of someone with this level of stuff because File works so efficiently.",510,81,0.110979406913755,0.127988609441444
"511","Payton Henry","18","22.9","MIL","A+","C",4,"Henry’s groundball rates have now fallen for two consecutive years, reinforcing optimism that he’ll get to enough of his considerable raw power in games to play some sort of big league role. A bat-first high school catcher who was considered a long shot to stay behind the plate, Henry has made sufficient developmental progress as a defender and now projects to stay back there, especially since most of the industry thinks arm strength is likely to drive catchers’ defensive profiles once we have robozones. Henry’s peripherals are scary — about 30% strikeouts, 7% walks, and he was hit by pitches nearly as much as he walked last year — but as long as he continues to actualize that raw power in games, I think the total package fits in a backup role.",511,132,0.197086918485825,0.101373029047463
"512","Thomas Dillard","19","22.8","MIL","A","1B",4,"The owner of one of the most entertaining hacks on the planet, Dilly takes big, uncompromising swings from both sides of the plate. He hit .286/.419/.505 at Ole Miss while walking at an 18% clip. Though he caught some in college, Dillard played mostly left field and first base, and projects to do the same in pro ball. Because he’s so committed to hitting nothing but tanks (Dillard’s footwork is actually pretty conservative as a left-handed hitter, he just has big time uppercut), he’s probably going to swing and miss in pro ball more often than he did in college, but he’ll likely reach base and hit for enough power to play some kind of corner role.",512,120,0.308967867180188,-0.151121876295708
"513","Devin Williams","20","25.7","MIL","MLB","RHP",4,"Williams has been hurt a lot and is now 25 and still walking lots of batters, but his heater touched 100 last year and his breaking stuff fits in a relief role. He’s big league ready.",513,35,0.464349616832241,0.253032911246493
"514","David Hamilton","21","22.7","MIL","R","SS",4,"In high school (he and Lutz were on the same Area Codes team), Hamilton was a terrific defensive shortstop with some feel to hit, but some teams didn’t think his narrow frame would fill out in a way that generated relevant power, so he ended up matriculating to Texas. He had a rough freshman year, then rebounded as a sophomore and was in the third to fifth round mix following his summer on the Cape. Then Hamilton tore his Achilles tendon and missed not only his junior year at Texas, but the entire summer as well. His first pro at-bats came during 2020 big league spring training. He looked considerably stronger coming out of rehab and I think he has a shot to have a breakout 2020 if given the opportunity to play.",514,133,0.200526189092004,0.247411015339663
"515","Victor Castaneda","22","21.8","MIL","AAA","RHP",4,"Castaneda pitched in relief during the summer and was stretched out as a four-to-five inning starter during the Fall League, where he continued to have success. His forkball is an obvious out pitch and he held his average velo in the longer Fall League outings, but the get-me-over curveball only works situationally (often to garner strike one) because it’s easy to identify out of his hand. As such, I think Castaneda profiles as a reliever, long-term.",515,82,0.121838059656505,0.106816889790446
"516","Nick Kahle","23","22.3","MIL","A+","C",4,"Kahle is a thick-bodied catcher with limited tools, but he is great at diagnosing balls and strikes (he had twice as many walks as strikeouts as a junior at Washington) and his approach should allow him to hit for enough pull power to make a 40-man.",516,47,NA,-0.0273496859058552
"517","David Fry","24","24.5","MIL","A","C",4,"A 2018 seventh round senior sign, Fry’s combination of power and a chance to play several positions (including catcher) makes him an interesting potential bench piece. He seemed to be undergoing a swing and approach change late last year, as he was a dead pull hitter for all of 2019, and struggled to turn on pitches in the fall, instead peppering the opposite field gap.",517,64,0.451295812360653,-0.00532851302021531
"518","Trey Supak","25","24.0","MIL","AAA","RHP",4,"Supak is a strike-throwing backend starter who has now had success up through Double-A. His velocity was down a bit last year but his fastball has a lot of spin for how slow it is, as well as other traits that bolster it. He’s a bigger-bodied guy whose athletic longevity is a question.",518,57,0.188990693808813,0.184933396677143
"519","Micah Bello","26","19.9","MIL","R","CF",4,"Bello signed for an under slot $550,000 as a second rounder. He’s a polished, contact-oriented center field prospect without typical big league physicality. He has several tweener traits, and might end up as a bench or platoon outfielder. A path toward everyday reps involves Bello developing a plus bat or glove, which are both in the realm of possibility as he has great breaking ball recognition and bat control, and good instincts in center field. He is one of several Hawaiian players drafted by Milwaukee since 2014 (Kodi Medeiros, Jordan Yamamoto, KJ Harrison, Kekai Rios).",519,95,0.270280725259298,0.287559950937583
"520","Korry Howell","27","21.8","MIL","A","CF",4,"Howell was a pleasant, toolsy, post-draft surprise whose combination of speed and crude bat control was too much for AZL defenses to deal with. He went to Low-A for his first full season and had less offensive impact, but still projects as a speedy, up-the-middle bench player.",520,51,0.164728282308813,-0.0135195145262267
"521","Tyrone Taylor","28","26.4","MIL","MLB","CF",3.5,"Taylor made a relevant swing change in 2018 and probably would have exhausted his rookie eligibility last year had he not dealt with injuries, which have been pervasive throughout his career. He has bench outfield tools and is big league ready.",521,40,0.213229170150824,0.260320303661461
"522","Angel Perdomo","29","26.1","MIL","AAA","LHP",3.5,"Perdomo was in Toronto’s system for seven seasons, then left for Milwaukee on a minor league deal after 2018. He had posted gaudy strikeout rates before then, but never in the 34-35% range for an extended stretch. He struck out 14.33 per nine at Triple-A, doing most of the damage with his fastball (a 17% swinging strike rate), which sits at about 93 and touches 97. He’s on Milwaukee’s 40-man and likely to play a role this year. I have him in as an up/down reliever.",522,85,0.293560799661505,-0.174621191527768
"523","Nick Bennett","30","22.8","MIL","A","LHP",3.5,"Milwaukee’s 2019 sixth rounder is a four-pitch lefty with a funky, noisy delivery and a breaking ball-heavy approach to pitching. His slider has length, his curveball has depth, and Bennett sits 90-93 with the heater. It’s a backend starter mix with a delivery that likely pushes Bennett to the bullpen.",523,52,0.195846948214044,-0.052577373319982
"524","Je’Von Ward","31","20.6","MIL","A","RF",3.5,"Long a notable amateur prospect due to his projectable, wide receiverish frame, Ward has made mechanical progress and is already much more of a refined baseball player than he was as a senior in high school. He’s still mostly a lottery ticket frame you’re hoping grows into big power, and even if he does, there are still swing plane issues the Brewers need to address, but Ward’s underlying skills have started to develop.",524,76,0.560085505499939,0.318959741016698
"525","Alexis Ramirez","32","20.9","MIL","R","RHP",3.5,"Ramirez is a super loose and fluid (but also inconsistent) righty with big arm strength and some breaking ball feel. He projects in the bullpen, where there may be even more velo.",525,32,0.132420377019551,-0.102191057213461
"526","Pablo Abreu","33","20.6","MIL","A","CF",3.5,"Abreu has an interesting power/speed combination, which the Brewers sent him to the Fall League to stress test last year after he missed most of 2019 due to injury. He didn’t look great, and has strikeout and swing efficacy issues undercutting his power. Barring a significant improvement in his bat-to-ball performance, he’s unlikely to be added to the 40-man or Rule 5’d this offseason, but he is a 20-year-old with relevant tools and a chance to play a premium defensive position, so he’s still in this tier for now.",526,95,0.384659844238331,-0.0145583170072277
"527","Braden Webb","34","25.1","MIL","AA","RHP",3.5,"Webb was a rare draft-eligible freshman because he had Tommy John as a senior in high school, then missed all of what would have been his freshman year at South Carolina while he recovered; he was a 21-year-old redshirt freshman when he was drafted in 2016. His measurables don’t properly capture his size; his broad shoulders mimic the shape and proportions of a generic minor league batter’s eye. He has a mid-90s fastball and upper-70s curveball that pair well together, as the latter has sharp, vertical action and bat-missing depth when he’s healthy. In 2019, he wasn’t. After a rocky start and demotion to A-ball, he was shelved for two months and returned as a reliever, rehabbing in rookie ball late in the year. Milwaukee has stubbornly continued to develop him as a starter but I think he fits as an up/down reliever.",527,152,0.210555884566979,0.029428009733477
"528","Cam Robinson","35","20.7","MIL","R","RHP",3.5,"Robinson works in the low-90s with a flat-planed fastball that plays at the top of the zone, and a snap dragon, 12-to-6 curveball. He’s not that projectable, but he’s athletically built and has a good arm action. He needs to refine his strike-throwing pretty badly and it would be nice if he ended up throwing harder, but the repertoire works well together, and I think he has a good shot to be a big league bullpen piece.",528,82,0.157174324701208,0.396423066852087
"529","Royce Lewis","1","20.7","MIN","AA","CF",6,"One of the top-billed high schoolers during a superlative year for talent in Southern California, Lewis began garnering Derek Jeter comparisons while he was still an amateur. To a degree, those remain reasonable, though they’re no longer applicable across nearly as much as Lewis’ skillset as they once were. Initially, those comps came from Lewis’ penchant for on-field leadership, some elements of his swing and frame, and, less positively, his future as a defensive shortstop. The Twins took him first overall and cut a below slot deal, as Lewis was seen as one of five options in a tightly-packed top tier of talent. ",529,107,0.149392486843063,0.240449231388033
"530","Trevor Larnach","2","23.0","MIN","AA","RF",5,"Larnach hit several balls in excess of 110 mph during Oregon State’s opening weekend of his draft season, and he ended up slugging .652 that year while falling to the back of the first round amid concerns about his defensive ability. Larnach remains a sluggish, diffident outfielder, but he’s very likely to get to much of his titanic raw power in games thanks to the ease with which he generates the pop — Larnach doesn’t swing with violence or effort; it’s just there — and a refined approach. We think he’s a 30-plus homer, high-OBP corner outfielder.",530,99,0.359114141508723,0.0456534381902852
"531","Alex Kirilloff","3","22.3","MIN","AA","1B",5,"Kirilloff’s numbers weren’t as nutty as they were two seasons ago — .283/.342/.413 down from .348/.392/.578 — but that’s partly because he was on the IL twice with wrist issues. His power output was way down for the first few weeks after he returned from both, which is typical of wrist injuries, but that the issue recurred is somewhat concerning on its own. Healthy Kirilloff is going to hit and hit for power. He can turn on balls most hitters are jammed by because of the way he strides open and clears his hips, but he still has the plate coverage and swing path to lift contact the other way when pitchers work away from him. A thickening build has slowed Kirilloff down, and he’s now begun seeing a lot of time at first base. This, combined with a pretty aggressive approach, makes him somewhat risky from some teams’ perspectives, who see a first baseman with below-average plate discipline, but we think he’s a safe bet to be a .340 to .360 wOBA guy even with how swing-happy he can be.",531,182,0.265237035675824,0.00438911032514002
"532","Jhoan Duran","4","22.1","MIN","AA","RHP",5,"Duran seemingly drew lots of trade interest while with Arizona. Loose, lean, and wielding premium stuff, his name was rumored to be on some PTBNL lists before he was ultimately traded to Minnesota as part of the Eduardo Escobar deal in 2018. During his first few pro seasons, Duran’s velocity yo-yo’d a bit; at times, he was in the upper-90s, while he was more 91-95 at others. He was also demoted from the Northwest League back to the AZL in 2017 for reasons apparently unrelated to performance. The following spring, not only was Duran’s velocity more stable — in the 93-96 range — but he was throwing strikes and had more consistent secondary stuff. ",532,113,0.148052260949349,0.0504867477082544
"533","Jordan Balazovic","5","21.4","MIN","A+","RHP",5,"After a breakout 2018, Balazovic spent most of 2019 dominating the Florida State League as a 20-year-old. Perhaps the most important takeaway was that he retained his stuff amid an innings increase, and while he hasn’t yet worked a major league starter’s regimen, he’ll be on pace to do so if he can add 20-30 frames over each of the next two years. ",533,64,0.341907943263485,0.263856175146042
"534","Ryan Jeffers","6","22.9","MIN","AA","C",4.5,"Jeffers has answered some of the defensive questions he faced in college, when it was unclear if he’d catch or end up at first base. Eyeball evaluations of his receiving are still mixed but according to our sources (and not just ones with Minnesota), the framing metrics are pretty good. The Twins, along with a growing number of other orgs, have their catchers set up on one knee (some have their receivers ditch it with two strikes, others don’t), which seems to affect how many called strikes they steal, at least in the minors. ",534,96,0.271999515032335,-0.0126179245710569
"535","Lewis Thorpe","7","24.2","MIN","MLB","LHP",4.5,"Thorpe is now pretty far removed from the severe injury issues that plagued him early in his pro career, and he’ll likely be in the Twins rotation all of next year. The flat-planed nature of his fastball enables the pitch to miss bats despite mediocre velocity, but it also makes Thorpe fly ball prone. Of his three secondary pitches, his curveball has the most visually pleasing movement but it’s much slower than his other pitches and might be best if used less than his sweeping slider. ",535,89,0.716295684007195,0.159515437104707
"536","Keoni Cavaco","8","18.7","MIN","R","3B",4.5,"A growth spurt buoyed Cavaco’s tools and draft stock, and he was last year’s most prominent pop-up high school prospect. He may have had the best frame in the entire draft but had already grown into considerable power as a senior, which he got to in games despite an awkwardly-timed stride. At times clumsy on defense, Cavaco may still be growing into his new body. He was also catching early in high school, and had to move all over the infield during his upperclass days because talented young shortstop Marcelo Mayer went to the same high school. He may end up at second or third base, or get a try in center field if his hands and actions don’t improve. He’s one of the 2019 draft’s higher risk, higher reward prospects.",536,137,0.198579508312018,0.247913571376299
"537","Gilberto Celestino","9","21.0","MIN","AA","CF",4.5,"We were pretty surprised when we sourced Celestino’s exit velos and learned the ball leaves his bat at 90 mph on average, which is above the big league average. We don’t think that means Celestino is going to hit for power, or even that it means he has more raw than we thought, just that he hits the ball hard with consistency,  a pervasive trait in this system. ",537,69,0.253575760174645,0.0528140331572898
"538","Misael Urbina","10","17.8","MIN","R","CF",4,"Urbina was one of the more advanced hitters in his July 2 signing class from both a bat control and physical development perspective. He was also one of the youngest. Currently an above-average runner, there’s a fair chance he ends up in left field due to a lack of top-end speed, though it might depend on how his body develops. ",538,62,0.202910326343557,0.239887940837503
"539","Jose Miranda","11","21.6","MIN","AA","3B",4,"He didn’t post a strong 2019 statline (about .250/.300/.360 in the Florida State League) but we’re still on Miranda because of his ability to move the barrel all over the zone, and because he generates consistent doubles power despite being very short to the ball. It makes Miranda tough to beat within the strike zone. Instead, the way to deal with him is to hope he chases stuff out of the zone (and even then he often finds ways to make contact). There are some holes in the swing in the sense that Miranda can’t do damage with pitches all over the zone, but he rarely swings and misses. We’ve shaded his FV down from last year’s 45 because we now think he ends up playing more third base than second in the long run, but we still really like Miranda’s bat control and quality of contact.",539,150,0.502292597157851,0.151523422670686
"540","Wander Javier","12","21.1","MIN","A","SS",4,"There are instances when knowing less about a prospect actually improves the industry’s view of them. There’s space to dream and fill in the gaps in the profile with optimism, as we may not know that relevant underlying issues lurk beneath the surface. Such was the case with Javier, who signed for a IFA franchise record $4 million back in 2015 and basically missed two of his four pro seasons due to quad and hamstring injuries, along with labrum surgery. ",540,80,0.205456891592557,0.31994415582364
"541","Matt Canterino","13","22.2","MIN","A","RHP",4,"Canterino regularly showed a plus fastball/breaker combo (a big, mid-90s two-plane breaker) as a sophomore and the summer before his draft spring, but there was some effort and violence to the delivery, and thus perceived relief risk. At that point, some teams saw enough strike-throwing to project him as a starter and look past the delivery. In his draft spring, his stuff was down a bit as Canterino appeared to be dialing things down to aim for more strikes and go deeper into games. When uncorked, we expect him to bump 96 with big life, and incorporate a mix of two breaking balls rather than rely heavily on the slider and barely use his curve. If he can throw strikes with his breaking stuff, he has a chance to start and miss bats with three pitches. If he can’t, he might be a high-leverage reliever.",541,150,0.185537701557099,-0.0391102614419069
"542","Matt Wallner","14","22.2","MIN","A","RF",4,"Wallner hit for power all three years of college, even while pitching part-time as a freshman and sophomore, but an arm injury kept him off the mound in his junior year, where some clubs thought he had real pro potential. He had some of the most explosive raw thump in the 2019 draft class, drawing 70 or 80 grades from scouts, and will hit balls 10 rows into the bleachers even when he doesn’t get fully extended. He has some moderate swing-and-miss issues characteristic of hitters who have power-driven approaches, which were made more evident after Wallner signed. But he’s also willing to take a walk, so the power and OBP give him a shot to be a regular in right field.",542,124,0.274237451954497,0.0367538168052708
"543","Cole Sands","15","22.6","MIN","AA","RHP",4,"Sands’ stuff is nasty enough that were it not for his long history of injuries, he’d be in the 40+ or 45 FV tier on this list. His fastball will creep into the mid-90s with big time tail, the kind that can run off the hip of left-handed hitters and back over the plate. He also has a wiping, two-plane breaking ball that’s consistently plus. He was on the 60-day IL in 2018 and made three IL trips in 2019, though one was for a blister and another for a calf strain, not arm stuff. A potential No. 4 starter (more likely No. 4/5), Sands turns 23 next year and should reach Double-A. ",543,112,0.161761720338468,0.0229079444732907
"544","Edwar Colina","16","22.8","MIN","AAA","RHP",4,"A stocky, hard-throwing starter with upper-90s heat, Colina’s fastball doesn’t play as an elite pitch despite his velocity — it has middling movement and he’s an extreme short strider who loses two ticks of perceived velo — but it’s tough to square up because of how hard it is. Similarly, Colina’s short, cuttery slider is effective because of how firm it is, and because he has excellent glove-side command of it. He also has a firm changeup that may be shelved, or at least de-emphasized since Colina moved to the bullpen late in 2019. His strike-throwing ability (there’s pretty precise slider command but bully-you in the zone fastball control) might enable him to go multiple innings, in which case you could argue he’s a 40+ FV.",544,135,0.287810000692859,-0.0310196446078008
"545","Brent Rooker","17","25.3","MIN","AAA","1B",4,"Things are coming into focus a little more for Rooker, who remains one of the more interesting and prominent “pop-up senior or redshirt junior” prospects (like Kody Hoese in 2019), who the industry often struggles to contextualize. The background here is odd. As a draft-eligible redshirt sophomore, Rooker hit .324/.376/.528 with 11 homers at Mississippi State, and the Twins drafted him in the 38th round. He didn’t sign, returned to school, hit .287/.496/.810, with 23 homers and 18 steals, and was drafted 35th overall. Nobody was totally sure what to make of such remarkable improvement, and Rooker lives in the dreaded right/right 1B/DH bucket for most evaluators, but he had among the best raw power and exit velos in his draft class and emphatically torched the best conference in college baseball. ",545,130,0.443453901549571,0.254723435417966
